countrycode,country,year,rgdpe,emp,hc,rkna
KOR,"Republic of Korea",2002,1177548,21.8392162322998,3.2455096244812,3944567.25
KOR,"Republic of Korea",2003,1223522.875,21.8316459655762,3.27251291275024,4177347.5
KOR,"Republic of Korea",2004,1291085.125,22.3056716918945,3.29974102973938,4412631
KOR,"Republic of Korea",2005,1338638.75,22.666088104248,3.32719564437866,4646020
KOR,"Republic of Korea",2006,1382777,23.0442409515381,3.35487866401672,4884624
KOR,"Republic of Korea",2007,1457668.5,23.4108047485352,3.3827919960022,5135703.5
KOR,"Republic of Korea",2008,1454400.875,23.6409740447998,3.41093754768372,5365608
KOR,"Republic of Korea",2009,1485051,23.6499290466309,3.43931722640991,5582609
KOR,"Republic of Korea",2010,1586915,24.0513210296631,3.467933177948,5815018
KOR,"Republic of Korea",2011,1606234.25,24.5436744689941,3.49846076965332,6035800.5
KOR,"Republic of Korea",2012,1639289.625,25.0584087371826,3.52957725524902,6239963
KOR,"Republic of Korea",2013,1700907.25,25.5231037139893,3.5612964630127,6446550
KOR,"Republic of Korea",2014,1757809.625,26.1396675109863,3.59363317489624,6659351
LKA,"Sri Lanka",1950,20610.619140625,2.27737522125244,1.48364841938019,51096.56640625
LKA,"Sri Lanka",1951,22132.109375,2.32946014404297,1.49301564693451,51376.19140625
LKA,"Sri Lanka",1952,19678.2890625,2.38273572921753,1.50244200229645,51829.390625
LKA,"Sri Lanka",1953,20580.78515625,2.43723011016846,1.51192784309387,51991.234375
LKA,"Sri Lanka",1954,23413.384765625,2.49297046661377,1.52147364616394,52324.9609375
LKA,"Sri Lanka",1955,25375.251953125,2.54998588562012,1.53107964992523,53255.72265625
LKA,"Sri Lanka",1956,23127.208984375,2.60830521583557,1.54292035102844,54021.68359375
LKA,"Sri Lanka",1957,22991.81640625,2.6679584980011,1.55485272407532,54544.453125
LKA,"Sri Lanka",1958,24299.076171875,2.72897601127625,1.5668773651123,55371.125
LKA,"Sri Lanka",1959,25549.400390625,2.79138898849487,1.57899498939514,56401.97265625
