"","country","year","rgdpe","rgdpo","pop","emp","hc","ccon","cda","cgdpe","cgdpo","rgdpna","rkna","labsh","delta","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r"
"43","Japan",1992,3646375.75,3732200.75,123.180357,66.0131072998047,3.21088767051697,2270406,3530761.75,3608441.5,3661006.5,3856991.25,9349726,0.657919466495514,0.0556733869016171,0.497423827648163,0.344264835119247,0.122735112905502,0.141235083341599,-0.0995103046298027,-0.00614854134619236
"44","Japan",1993,3751564,3852766.75,123.658854,66.3286819458008,3.22747826576233,2349352,3632846.5,3714718.75,3785959,3863589,10141822,0.665630161762238,0.0556683093309402,0.496015161275864,0.33901435136795,0.124528303742409,0.142921194434166,-0.0972840934991837,-0.00519489962607622
"45","Japan",1994,3891495,3980358.5,124.101546,66.4767990112305,3.24415493011475,2470935,3739561.75,3815461.75,3886197,3896954.25,10794113,0.67454606294632,0.0544992983341217,0.506079494953156,0.326444298028946,0.129743918776512,0.146554306149483,-0.10379733145237,-0.00502463988959789
"46","Japan",1995,4086793.5,4177391.25,124.483305,66.7614898681641,3.26091766357422,2599111,3929195.75,3983185,4044210,3972646.5,11428861,0.670119941234589,0.0537018328905106,0.51096099615097,0.328886151313782,0.13171361386776,0.149207234382629,-0.11429151147604,-0.00647650612518191
"47","Japan",1996,4185543.75,4247369,124.794817,66.8407897949219,3.27776670455933,2670444.5,4027789.75,4046467.25,4083340,4076334.75,12093383,0.65927791595459,0.0530177652835846,0.522248148918152,0.332410514354706,0.131737127900124,0.138750657439232,-0.116638921201229,-0.00850753672420979
"48","Japan",1997,4220555.5,4278626,125.048424,67.2935104370117,3.29470300674438,2685700,4025258.25,4069012.5,4129485.5,4141377.75,12717146,0.655825853347778,0.0524760000407696,0.515697419643402,0.324388653039932,0.13467413187027,0.150447458028793,-0.116949282586575,-0.00825839769095182
"49","Japan",1998,4122129.75,4172601.25,125.266403,66.4741439819336,3.31172680854797,2665209,3878235.5,3951982.5,4037334.25,4058420,13234014,0.664878368377686,0.0520116426050663,0.519375622272491,0.300452351570129,0.140765115618706,0.153378427028656,-0.10517030954361,-0.00880120974034071
"50","Japan",1999,4077627.25,4149478.25,125.48105,65.5519790649414,3.32883858680725,2710726.25,3852879,3915144,4027924.5,4050330,13726952,0.652776837348938,0.0515320338308811,0.525347888469696,0.28355860710144,0.147635519504547,0.166343465447426,-0.114510774612427,-0.00837465934455395
"51","Japan",2000,4168137,4251422.5,125.714674,65.0609283447266,3.34603881835938,2778936.75,3967873.75,4026201.75,4180146.5,4141766,14209026,0.641044676303864,0.0512336902320385,0.512938261032104,0.284424722194672,0.151855811476707,0.194733917713165,-0.137394845485687,-0.00655787112191319
"52","Japan",2001,4192286.5,4214868.5,125.974298,64.7866516113281,3.36086773872375,2882535,4048706,4074774.25,4161727,4156488.5,14644794,0.640831768512726,0.0509548969566822,0.53198915719986,0.280213236808777,0.160640344023705,0.16991762816906,-0.136161282658577,-0.00659912778064609
